ATIVO,CLASSE,BCO,Data Contrata‹o,Data Aporte,Dt Vencimento,Valor,Notional Atualizado,DU,06/03/2017,07/03/2017,08/03/2017,14/03/2017,27/03/2017,17/04/2017,15/05/2017,16/05/2017,25/05/2017,19/06/2017,05/07/2017,11/07/2017,21/07/2017,28/07/2017,07/08/2017,07/08/2017,01/09/2017,14/09/2017,21/09/2017,27/09/2017,28/09/2017,29/09/2017,05/10/2017,09/10/2017,17/10/2017,25/10/2017,31/10/2017,07/11/2017,14/11/2017,16/11/2017,22/11/2017,27/11/2017,01/12/2017,04/12/2017,14/12/2017,22/12/2017,28/12/2017,16/01/2018,22/01/2018,23/01/2018,26/01/2018,29/01/2018,01/02/2018,06/02/2018,08/02/2018,16/02/2018,20/02/2018,28/02/2018,01/03/2018,05/03/2018,06/03/2018,08/03/2018,12/03/2018,13/03/2018,14/03/2018,15/03/2018,16/03/2018,22/03/2018,26/03/2018,29/03/2018,02/04/2018,09/04/2018,16/04/2018,02/05/2018,03/05/2018,09/05/2018,11/05/2018,21/05/2018,25/05/2018,28/05/2018,19/06/2018,21/06/2018,26/06/2018,28/06/2018,29/06/2018,02/07/2018,03/07/2018,10/07/2018,17/07/2018,24/07/2018,30/07/2018,06/08/2018,28/08/2018,29/08/2018,06/09/2018,09/09/2018,17/09/2018,01/10/2018,11/10/2018,15/10/2018,18/10/2018,25/10/2018,29/10/2018,07/11/2018,21/11/2018,22/11/2018,26/11/2018,17/12/2018,02/01/2019,07/01/2019,14/01/2019,23/01/2019,28/01/2019,01/02/2019,04/02/2019,11/02/2019,22/02/2019,06/03/2019,08/03/2019,26/03/2019,02/04/2019,12/04/2019,22/04/2019,10/05/2019,15/05/2019,21/05/2019,24/05/2019,30/05/2019,31/05/2019,10/06/2019,17/06/2019,24/06/2019,27/06/2019,01/07/2019,08/07/2019,15/07/2019,22/07/2019,24/07/2019,26/07/2019,29/07/2019,06/08/2019,09/08/2019,14/08/2019,16/08/2019,02/09/2019,05/09/2019,10/09/2019,13/09/2019,16/09/2019,27/09/2019,30/09/2019,07/10/2019,14/10/2019,30/10/2019,01/11/2019,04/11/2019,06/11/2019,12/11/2019,19/11/2019,27/11/2019,02/12/2019,06/12/2019,09/12/2019,11/12/2019,16/12/2019,18/12/2019,19/12/2019,20/12/2019,21/12/2019,26/12/2019,02/01/2020,06/01/2020,08/01/2020,13/01/2020,14/01/2020,16/01/2020,17/01/2020,22/01/2020,24/01/2020,27/01/2020,30/01/2020,06/02/2020,11/02/2020,17/02/2020,26/02/2020,28/02/2020,02/03/2020,03/03/2020,04/03/2020,09/03/2020,12/03/2020,16/03/2020,24/03/2020,30/03/2020,06/04/2020,08/04/2020,13/04/2020,23/04/2020,30/04/2020,07/05/2020,14/05/2020,19/05/2020,22/05/2020,26/05/2020,01/06/2020,03/06/2020,%aa liquido,% Carteira,,PnL,,,,,,,,
Bitcoin,OUTROS,BTC,22/09/2017,,, R$ 16578.54 , R$ 2999.03 ,681,,,,,,,,,,,,,,,,,,,,,0.00,0.00,4925.85,5285.66,6014.58,6014.58,11656.96,13309.73,19254.62,20027.01,20027.01,20027.01,22087.24,22042.32,29580.89,29224.89,28056.62,28056.62,10065.14,10216.81,9971.17,10046.51,8238.84,6642.96,7882.42,9196.29,10465.16,9600.69,9764.20,10294.04,10285.91,10264.15,9926.72,9910.75,9359.36,9357.22,9544.85,9670.51,9405.62,9027.05,8745.20,8567.84,9359.61,10277.98,10496.14,10496.14,10496.14,10496.14,10496.14,10496.14,10496.14,10496.14,10449.32,10388.21,10188.17,10868.59,10826.05,10609.29,10820.86,10820.86,10820.86,10820.86,11138.42,12344.38,12714.88,12714.88,12714.88,12714.88,12714.88,12821.81,12778.86,12778.86,12267.33,13031.20,9106.74,7958.57,7958.57,7202.90,7951.67,7968.22,7387.84,7182.58,6900.91,6672.41,6661.92,7190.56,7862.41,7765.93,8033.53,8063.38,9769.42,10609.79,11335.24,13325.81,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,16575.24,14031.19,14342.46,14282.44,14325.10,15038.44,15060.87,15167.88,15332.97,14998.11,14259.02,13561.93,13149.56,13184.69,13181.09,12740.05,12463.54,12584.49,12481.35,12628.82,13119.52,12722.47,13651.02,13044.38,14150.58,13857.24,14836.40,14836.64,14836.95,14836.72,14836.33,14836.89,14838.39,14839.10,14839.61,14839.39,14838.17,14837.95,14838.35,14838.28,14838.31,14837.56,14834.18,14284.42,16227.03,16178.40,16449.70,16449.61,16449.03,16450.14,16452.23,16454.83,16454.38,16454.28,16453.35,16452.28,16453.12,16452.61,8.60%,2.602%,0.002238171,-0.76,-10.48,-3.31%,,,1.102011496,,,
LC Pernambucanas - DEZ/2019,RF,XP,01/12/2017,,02/12/2019, R$ 5000.00 , R$ 5000.00 ,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.00,5001.66,5014.37,5023.69,5028.35,5047.06,5053.30,5054.87,5056.43,5061.13,5065.83,5070.53,5073.67,5079.73,5079.73,5091.87,5093.39,5096.43,5097.96,5101.00,5104.05,5105.57,5107.09,5108.62,5110.14,5116.25,5119.19,5123.61,5125.08,5132.46,5139.84,5156.13,5157.61,5163.55,5166.52,5175.44,5181.40,5182.89,5205.29,5208.29,5211.28,5215.78,5217.28,5218.78,5220.28,5227.80,5235.32,5242.85,5248.89,5256.44,5282.20,5282.20,5291.32,5292.84,5298.94,5315.73,5327.99,5329.52,5334.13,5334.13,5344.89,5354.14,5368.03,5372.67,5372.67,5395.94,5411.50,5416.18,5423.98,5434.93,5439.63,5445.90,5447.47,5455.32,5469.48,5478.94,5482.09,5501.07,5509.00,5521.71,5529.66,5550.41,5555.21,5561.61,5566.42,5572.83,5574.44,5584.08,5592.13,5598.57,5603.41,5606.64,5614.72,5622.81,5630.91,5634.16,5637.41,5639.03,5648.41,5652.92,5657.44,5660.45,5677.05,5681.58,5686.12,5690.66,5692.18,5705.08,5706.47,5713.44,5720.42,5737.21,5739.88,5741.16,5743.71,5748.81,5753.92,5761.59,5765.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,5.83%,0.000%,0,0.00,1.57,0.12%,,1.755543826,0.102011496,,,
COE PNB PIMCO 3 anos,DERIVATIVOS,XP,30/11/2017,,08/12/2020, R$ 30000.00 , R$ 30000.00 ,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30098.17,30785.39,30589.04,30687.21,30883.56,30785.39,30785.39,30785.39,30785.39,30785.39,30490.87,30294.52,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30196.35,30196.35,30196.35,30098.17,30098.17,30294.52,30196.35,30392.69,30589.04,30883.56,30981.74,31079.91,31079.91,31079.91,31374.43,31472.60,31472.60,31668.95,31865.30,31865.30,31865.30,31963.47,31963.47,31963.47,31767.12,31963.47,32159.82,32159.82,32159.82,31570.78,30981.74,30981.74,30981.74,30687.21,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,30000.00,0.00%,5.639%,0,-294.53,0.00,0.00%,,0.755543826,,,,
CANVAS ENDURO III,FUNDO MM,XP,01/03/2018,,, R$ 20000.00 , R$ 20000.00 ,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000.00,20000.00,20052.84,20046.37,20073.11,20073.11,20092.18,20092.18,20073.22,20093.54,20117.76,20052.97,20052.97,20011.54,20048.39,20166.50,20080.30,19951.84,19763.37,19691.70,19694.20,19645.84,19366.22,19461.27,19429.65,19514.67,19499.00,19568.64,19568.64,19658.97,19726.88,19844.95,19924.80,19933.63,19750.39,19750.39,19382.32,19382.32,19404.78,19698.81,20246.80,20118.21,20353.12,20353.12,20351.68,20566.84,20467.34,20433.09,20433.09,20461.03,20529.04,21051.56,21241.68,21276.43,21393.78,21675.95,21675.95,21405.34,21560.72,21559.27,21421.61,21377.77,21340.14,21298.32,21273.73,21667.83,21631.72,21430.70,21483.52,21729.78,21729.78,21743.93,21839.93,21987.37,22091.80,22159.66,22477.97,22611.44,22637.09,22621.84,22621.93,22582.56,22362.46,22563.81,22457.70,22257.13,22305.92,22318.65,22324.95,22390.70,22390.70,22357.59,22411.98,22420.67,22392.46,22810.54,22837.59,22926.34,22975.11,22702.72,22550.53,22558.86,22450.71,22643.18,22726.43,22760.38,22911.44,22843.69,22891.24,22808.31,22808.31,22869.49,23022.93,23051.33,22905.41,22915.22,22939.79,22885.78,22890.07,22915.70,22995.54,22932.91,22802.00,22845.04,22706.97,22886.91,22740.07,22135.37,22044.73,22076.72,22076.72,21698.69,21241.05,20869.80,19804.51,21048.37,20846.69,21144.82,21470.99,22324.85,21682.68,21641.96,21474.65,21827.26,22031.40,22311.43,22469.66,22652.49,5.62%,4.013%,0.00225516,-378.03,0.00,1.32%,,,,,,
CANVAS VECTOR FIC FIM,FUNDO MM,XP,04/03/2020,,, R$ 50000.00 , R$ 50000.00 ,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.00,49406.21,48344.75,46086.85,44103.83,43909.50,43743.88,43756.89,44563.52,44150.27,45194.11,44656.81,44867.05,45891.13,46580.20,46819.23,46932.62,46986.34,-20.31%,0.000%,,-593.79,,,,,,,,
SPARTA TOP FIC FI RF,FUNDO RF,XP,01/03/2018,,, R$ 60000.00 , R$ 60000.00 ,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000.00,60017.25,60036.24,60050.93,60106.80,60124.24,60140.81,60157.57,60190.57,60257.26,60283.80,60335.63,60358.10,60437.71,60491.04,60691.84,60711.09,60759.24,60807.32,60906.81,60955.97,60967.07,61078.29,61103.39,61132.30,61181.29,61193.54,61209.22,61209.22,61312.63,61389.17,61475.71,61539.12,61620.91,61927.28,61927.28,62024.19,62024.19,62109.68,62277.35,62427.18,62443.67,62499.60,62499.60,62631.79,62742.16,62891.53,62947.31,62947.31,62853.51,63033.77,63107.64,63197.91,63325.35,63355.08,63438.96,63438.96,63544.71,63702.41,63811.43,63843.79,64060.11,64145.93,64281.75,64370.44,64584.53,64632.16,64697.05,64742.69,64804.32,64818.64,64595.73,64674.28,64723.14,64784.71,64795.10,64918.76,64998.58,65090.35,65119.20,65153.95,65171.09,65238.75,65284.09,65321.05,65349.30,65505.59,65547.83,65586.84,65628.16,65628.16,65755.47,65798.93,65857.59,65899.05,65940.64,65936.15,65932.50,65952.44,65947.50,65953.97,65988.46,65781.38,65826.01,65843.29,65873.35,65937.46,65961.27,65961.27,65990.19,65998.55,66028.08,66058.03,66088.57,66108.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,4.35%,0.000%,0,0.00,0.00,0.13%,,,,,,
DLM Premium 30 FIRF CP LP,FUNDO RF,XP,06/03/2019,,, R$ 37518.48 , R$ 37518.48 ,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,37518.48,37527.26,37647.69,37700.87,37779.20,37836.32,37965.48,37995.03,38030.69,38059.60,38097.66,38106.02,38071.00,38119.91,38155.89,38184.71,38193.76,38265.34,38312.28,38358.74,38374.54,38398.25,38406.00,38454.98,38486.34,38508.17,38524.21,38622.91,38648.21,38670.06,38696.46,38696.46,38779.54,38804.88,38839.20,38859.44,38842.25,38825.63,38819.66,38818.19,38800.33,38787.69,38804.35,38685.27,38709.17,38718.92,38737.75,38755.70,38765.59,38768.85,38775.79,38781.52,38797.17,38819.20,38827.16,38839.63,38860.43,38864.58,38887.85,38892.96,38918.15,38933.84,38941.75,38971.13,39007.31,39007.42,39039.94,39069.48,39080.11,39081.50,39092.89,39096.88,39109.41,39066.70,39035.05,38719.17,37928.44,36798.30,36532.91,36466.40,36548.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.03%,6.845%,-0.0013926,12.53,,,,,,,,
Dahlia Total Return FIC FIM,FUNDO A‚ÍES,XP,06/03/2019,,, R$ 37518.48 , R$ 37518.48 ,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,37518.48,37518.48,37644.03,38049.02,37765.58,37671.84,38294.77,37828.16,37555.57,37677.24,38053.36,38204.93,38830.73,39031.70,39425.03,39359.34,39516.01,40712.35,41015.64,40729.27,40741.48,40480.72,40654.84,41055.05,42044.65,41792.83,40938.70,41461.87,41300.01,41179.68,41295.11,41295.11,41779.77,41759.85,41588.90,41712.30,42654.78,43014.11,43237.53,43005.56,43344.21,43272.68,43566.70,43921.31,44451.28,44653.27,44676.26,45700.85,45515.48,46006.60,46297.27,46514.41,46797.05,47001.51,47678.82,47564.19,47591.17,48028.20,48034.12,48174.53,48776.25,49125.31,48771.76,48362.86,48679.90,46998.82,48258.58,48537.41,45258.62,45356.48,46158.34,46020.53,44502.55,43674.42,41528.77,37577.25,39417.38,38586.52,40121.84,40408.46,43314.39,43448.91,43498.01,43155.92,43836.91,44260.58,44915.58,45130.92,45414.78,16.18%,8.462%,0.013688463,-1517.98,,,,,,,,
XP Referenciado FI Referenciado,FUNDO RF,XP,11/12/2019,,, R$ 18108.39 , R$ 13938.39 ,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18108.39,18115.15,18122.73,13955.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,0.24%,0.000%,0,0.00,,,,,,,,
XP Referenciado FI Referenciado DI CP,FUNDO RF,XP,26/12/2019,,,R$ 5045.17,R$ 5045.17,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5046.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,0.04%,0.000%,0,0.00,,,,,,,,
Kinea Chronos FIM,FUNDO MM,XP,27/12/2019,,,R$ 5045.17,R$ 5045.17,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,5056.15,5067.92,5065.49,5077.36,5078.05,5089.99,5083.95,5098.63,5116.47,5103.32,5101.84,5101.28,5082.27,5104.92,5099.09,5013.69,5005.55,5040.50,5035.75,4950.92,4875.39,4833.20,4763.01,4829.20,4831.39,4865.26,4873.11,4911.62,4898.10,4900.33,4900.99,4913.88,4915.95,4918.32,4929.47,4937.19,-4.67%,0.895%,-0.000417997,-84.83,,,,,,,,
Constellation Inst RV,FUNDO A‚ÍES,XP,01/03/2018,,,R$ 11094.61,R$ 31094.61,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11094.61,11094.61,11094.61,11098.56,11388.75,11074.62,11076.74,11119.23,11119.23,11457.85,31345.74,31425.31,31514.56,31464.45,32109.72,32303.40,32144.51,32144.51,31575.63,31571.14,31462.63,31389.67,31901.31,31605.61,31265.50,31543.20,31543.20,30522.53,30766.21,29584.29,29359.72,29343.16,26180.63,26885.64,26617.93,27221.64,26635.84,27281.61,27281.61,27695.57,28695.84,29063.95,29339.66,29277.83,28214.32,28214.32,27346.16,27346.16,26980.18,28537.10,29928.13,29563.74,30655.58,30655.58,30821.66,32603.02,32772.20,32546.42,32546.42,33231.19,33665.20,34589.16,34983.85,35634.07,36723.92,37421.48,37421.48,36566.59,37070.46,36898.20,36580.41,36592.18,37290.94,36520.47,36389.96,37391.55,36388.15,36526.94,37396.95,38392.32,38819.84,39342.63,39704.15,41094.34,40288.96,40560.24,42665.44,42761.05,42724.63,42758.99,42505.23,42776.43,42648.76,45101.83,45110.96,43424.50,44776.97,44642.98,43476.10,44572.81,44572.81,44865.77,45171.15,44719.63,44971.47,45787.38,46260.37,46628.31,46051.01,46867.22,46665.91,46782.34,47439.76,48362.50,48842.57,48321.36,49594.46,49508.28,49386.92,50270.83,50608.98,50899.38,50806.87,52269.67,51753.51,52028.15,52621.12,52454.12,52587.55,53448.84,54679.25,54215.90,53790.42,53939.45,52507.03,53740.06,54342.77,49127.27,49432.54,50897.38,50538.37,46812.41,41968.70,40132.60,31291.26,35642.74,32701.66,36121.71,36940.59,40647.27,40526.34,39934.27,38884.15,40551.99,41324.06,42234.94,43508.33,44303.29,16.82%,9.423%,0.01584463,-3725.96,0.00,1.90%,,,,,,
Equitas Selection FIC FIA,FUNDO A‚ÍES,XP,06/11/2019,,,R$ 10500.00,R$ 10500.00,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500.00,10318.56,10043.83,10132.62,10287.39,1053
